Ponded Water,Distance,Bulk Density,Concentration,Porosity,Hydraulic Conductivity,Dispersivity,Type-1 Sorption Fraction,Adsorption Coefficient,Type-2 Sorption Reaction Rate,Flux,Horizontal,Particle Density,Degree of Saturation,Relative Velocity,Saturation
0.0,0.0,0.4263836134647283,0.0007501875468867217,0.4381577457872603,0.44951678543834583,0.9723027658192676,0.28746778995670375,0.051883294358858634,0.2441942083694509,0.04,0.0,0.3811067696661743,0.9999701529580762,0.8387259093825977,True
0.0,0.0,0.35732346337377763,1.0,0.37729007072372545,0.7832914870562561,0.09210572143597327,0.29612644965301843,0.05806710022557422,0.1074705290114689,0.1,0.0,0.2842641742016765,0.9999566817851862,0.7982214070065314,True
0.0,0.411764705882353,0.6105998753872592,0.24981245311327835,0.9375832919196312,0.7044078161749792,0.28946584607214365,0.014917829793451336,0.45568964483724744,0.18060845865617198,0.04,0.0,0.9230931900801567,0.9996185202762289,0.38199918771684704,True
0.3,0.0,0.2405446493849155,0.0622655663915979,0.5822809299942273,0.7318277512315299,0.9316355884069749,0.013423903588735223,0.032776044008088145,0.2197904591422718,0.0,1.0,0.3442848044513944,0.9999744379455309,0.9270413494718219,True
0.0,1.0,0.49128412147840184,0.0007501875468867217,0.45392619974630444,0.7797769555614207,0.4300444966884699,0.26990493184534403,0.04965183930388495,0.11104837010656153,0.5,1.0,0.44246215252880106,0.29102923900421995,0.6410769692719809,False
0.0,1.0,0.3525910568723516,0.24981245311327835,0.465052595884921,0.7794863823087737,0.25642800376281666,0.9569699438145546,0.4142488092404723,0.030293244267776093,0.5,1.0,0.34431985811407007,0.507954278777422,0.26795000648883965,False
1.0,0.411764705882353,0.18116446569213274,0.0,0.527365025473352,0.7783075606605843,0.9338604453044875,0.41958159090218655,0.11086312401863499,0.07225430647108563,0.0,1.0,0.2577736916638047,0.999972665776186,0.7772647559681862,True
0.3,0.411764705882353,0.8227957227890865,1.0,0.6504679016030823,0.6669468811547044,0.06328718647892717,0.6331995054791374,0.2519227517391197,0.21584410993310163,0.0,1.0,0.8529471671920579,0.9999372670453486,0.5012487251748247,True
0.1,0.411764705882353,0.5142696740273998,0.0,0.7347066680159293,0.5222336842023653,0.9252398809767011,0.08254500038242917,0.011492432892707124,0.3516082371310206,0.0,1.0,0.6773756939490259,0.9999668653476279,0.9197939640598907,True
0.0,0.0,0.5000333037756697,0.0,0.17340139631437923,0.4934309033190779,0.30492104882419396,0.9956914357197446,0.05011332429433993,0.3580208380644544,0.1,0.0,0.24718271368358913,0.9999154488212725,0.7937447006713092,True
0.6,0.08823529411764708,0.6457808944959158,1.0,0.9310730277327761,0.73246968236457,0.1287663711194204,0.992118539577916,0.1652118249014685,0.025138972729201,0.0,1.0,0.9461966266558024,0.9999677354871592,0.6348316255470517,True
